"4_2", 0.2098
"7_3", 0.4736
"10_4", 0.723
"13_5", 0.767
"16_6", 0.7694
"19_7", 0.769
"22_8", 0.7686
"25_9", 0.7531645569620253
"4_2", 0.2008
"7_3", 0.419
"10_4", 0.6642
"13_5", 0.7652
"16_6", 0.7694
"19_7", 0.7684
"22_8", 0.7684
"25_9", 0.7686
"28_10", 0.769
"31_11", 0.7692
"34_12", 0.7692
"37_13", 0.7692
"16_6", 0.7692
"16_6", 0.7692
"16_6", 0.7694
"16_6", 0.7694
"16_6", 0.7694
"16_6", 0.7694
"16_6", 0.7694
"16_6", 0.0352
"16_6", 0.0352
"16_6", 0.7694
"16_6", 0.7708
"16_6", 0.7708
"16_6", 0.7708
"16_6", 0.7708
"16_6", 0.7708
"16_6", 0.7708
"16_6", 0.7708
"16_6", 0.7728860936408106
"16_6", 0.7708
"16_6", 0.7708
"4_2", 0.20029518072289157
"7_3", 0.3923012048192771
"10_4", 0.6584638554216867
"13_5", 0.7619277108433735
"16_6", 0.7661626506024096
"19_7", 0.7665421686746988
"22_8", 0.7665481927710843
"25_9", 0.7665783132530121
"28_10", 0.7665843373493976
"31_11", 0.7665783132530121
"34_12", 0.7665903614457832
"37_13", 0.7708
"4_2", 0.2044
"7_3", 0.3936
"10_4", 0.6552
"13_5", 0.7666
"16_6", 0.7708
"16_6", 0.7708
"19_7", 0.7708
"19_7", 0.7708
"22_8", 0.7708
"25_9", 0.7708
"28_10", 0.7708
"31_11", 0.7708
"34_12", 0.7708
"37_13", 0.7708
"19_7", 0.7708
"22_8", 0.7708
"25_9", 0.7708
"28_10", 0.7708
"31_11", 0.7708
"34_12", 0.7708
"37_13", 0.7708
"4_2", 0.7708
"7_3", 0.7708
"10_4", 0.7708
"4_2", 0.8
"7_3", 0.8
"10_4", 0.8
"13_5", 0.8
"16_6", 0.8
"19_7", 0.7708
"22_8", 0.7708
"25_9", 0.7708
"28_10", 0.7708
"31_11", 0.7708
"34_12", 0.7708
"37_13", 0.7708
"4_2", 0.2044
"7_3", 0.3936
"10_4", 0.6552
"13_5", 0.7666
"16_6", 0.7708
"19_7", 0.7708
"22_8", 0.7708
"25_9", 0.7708
"28_10", 0.7708
"31_11", 0.7708
"34_12", 0.7708
"37_13", 0.7708
"4_2", 0.7708
"4_2", 0.7708
"4_2", 0.7708
"4_2", 0.7708
"4_2", 0.7708
"4_2", 0.7708
"4_2", 0.7708
"4_2", 0.7708
"4_2", 0.2
"4_2", 0.2
"4_2", 0.2
"4_2", 0.2
"4_2", 0.2
"4_2", 0.2
