Bits,SliceLUTs,SliceRegisters,BlockRAMTile,DSPs,BondedIOB,Timing,Accuracy
4,0.50,0.05,0.00,0.00,10.58,1.779,0.2036
7,1.78,0.24,0.00,0.00,18.15,0.995,0.3967
10,3.77,0.61,0.00,0.00,25.72,0.456,0.6587
13,4.05,0.73,0.00,7.25,33.29,0.266,0.7659
16,5.86,0.94,0.00,9.24,40.87,0.205,0.7697
19,8.45,1.26,0.00,9.42,48.44,0.003,0.7699
22,10.96,1.45,0.00,11.44,56.01,-0.142,0.7697
25,13.42,1.71,0.00,12.22,63.58,-0.685,0.7698
28,30.65,2.84,0.00,6.59,71.15,-1.745,0.7698
31,26.60,2.43,0.00,21.16,78.73,-2.288,0.7698
34,26.21,2.36,0.00,27.72,86.30,-2.400,0.7698
37,34.60,3.68,0.00,31.04,93.87,-3.318,0.7698
4,0.00,0.01,0.00,0.04,2.88,3.780,0.2036
7,0.00,0.01,0.00,0.04,4.69,3.780,0.3967
10,0.00,0.01,0.00,0.04,6.49,3.780,0.6587
13,0.00,0.01,0.00,0.04,8.29,3.780,0.7659
16,0.00,0.01,0.00,0.04,10.10,3.780,0.7697
