Width, Accuracy
"4_2", 0.5110220440881763
"7_3", 0.5110220440881763
"10_4", 0.5110220440881763
"13_5", 0.5110220440881763
"16_6", 0.5110220440881763
"19_7", 0.5110220440881763
"16_6", 0.5110220440881763
"16_6", 0.5110220440881763
"16_6", 0.5110220440881763
"16_6", 0.5110220440881763
"16_6", 0.5110220440881763
"16_6", 1.0
"4_2", 0.5110220440881763
"7_3", 0.5110220440881763
"10_4", 0.5110220440881763
"13_5", 0.8016032064128257
"16_6", 0.8396793587174348
"19_7", 0.8356713426853707
"22_8", 0.8336673346693386
"25_9", 0.8396793587174348
"28_10", 0.8396793587174348
"31_11", 0.8396793587174348
"34_12", 0.8396793587174348
"37_13", 0.8396793587174348
