Bits, SliceLUTs, SliceRegisters, BlockRAMTile, DSPs, Bonded IOB, Timing, Accuracy
4, 0.35, 0.18, 0.76, 0.00, 4.09, 6.147, 0.0
4, 0.35, 0.18, 0.76, 0.00, 4.09, 6.147, 0.5269086357947435
7, 1.39, 0.46, 0.76, 0.00, 6.61, 5.262, 0.5269086357947435
10, 3.15, 0.89, 0.76, 0.00, 9.13, 3.321, 0.5269086357947435
13, 4.25, 1.32, 0.76, 5.59, 11.66, 4.246, 0.8110137672090113
16, 6.31, 1.75, 0.76, 8.14, 14.18, 2.280, 0.8397997496871089
19, 9.19, 2.20, 0.76, 8.37, 16.71, 2.482, 0.8360450563204005
22, 11.59, 2.48, 0.76, 10.78, 19.23, 2.603, 0.83729662077597
25, 13.91, 2.77, 0.76, 12.08, 21.75, 1.740, 0.8423028785982478
28, 33.68, 4.26, 0.76, 3.16, 24.28, 0.758, 0.8410513141426783
31, 27.30, 3.82, 0.76, 19.14, 26.80, 0.931, 0.8410513141426783
34, 24.72, 3.69, 0.76, 27.91, 29.33, 1.117, 0.8423028785982478
