Bits, Slice LUTs, Slice Registers, Block RAM Tile, DSPs, Bonded IOB, Timing, Accuracy, Cycle Latency, Total Latency
4, 0.38, 0.09, 0.76, 0.33, 4.09, 5.223, 0.5263157894736842, -1, -1
7, 1.13, 0.14, 0.76, 0.33, 4.09, 3.671, 0.5275689223057645, -1, -1
10, 2.65, 0.25, 0.76, 0.33, 6.61, 2.781, 0.47368421052631576, -1, -1
13, 2.82, 0.30, 0.76, 11.69, 9.13, 0.785, 0.47368421052631576, -1, -1
16, 3.10, 0.40, 0.76, 20.26, 11.66, 0.798, 0.47368421052631576, -1, -1
19, 3.29, 0.57, 0.76, 25.07, 14.18, 0.355, 0.47368421052631576, -1, -1
22, 3.69, 0.67, 0.76, 27.05, 16.71, 0.263, 0.47368421052631576, -1, -1
25, 3.96, 0.88, 0.76, 28.39, 19.23, 0.271, 0.47368421052631576, -1, -1
28, 39.72, 1.64, 0.76, 3.81, 21.75, 0.000, 0.47368421052631576, -1, -1
31, 25.68, 1.81, 0.76, 29.59, 24.28, 0.196, 0.47368421052631576, -1, -1
34, 13.18, 1.89, 0.76, 48.24, 26.80, 0.016, 0.47368421052631576, -1, -1
